Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,342.000000,342.200012,336.000000,337.200012,329.929962,2056704
2022-05-05,342.600006,346.000000,340.200012,341.600006,334.235077,4038739
2022-05-06,335.000000,335.600006,326.399994,327.600006,320.536926,5972284
2022-05-10,320.799988,329.200012,320.000000,325.600006,318.580048,4655168
2022-05-11,325.600006,331.799988,323.000000,325.399994,318.384338,3667322
2022-05-12,321.000000,324.399994,319.399994,321.000000,314.079224,3524248
2022-05-13,325.000000,329.399994,323.399994,328.600006,321.515381,2677810
2022-05-16,330.000000,330.799988,324.399994,326.200012,319.167114,2435729
2022-05-17,326.200012,340.600006,326.200012,340.000000,332.669556,5356188
2022-05-18,344.000000,344.000000,336.200012,341.399994,334.039398,3322783
2022-05-19,331.000000,333.600006,327.399994,331.000000,323.863617,3981740
2022-05-20,333.000000,337.799988,332.000000,336.000000,328.755798,5289553
2022-05-23,334.399994,334.399994,329.399994,331.399994,324.254974,3583434
2022-05-24,331.399994,331.799988,321.200012,324.799988,317.797272,4260781
2022-05-25,325.600006,327.600006,322.399994,324.600006,317.601593,2583876
2022-05-26,326.200012,326.600006,320.600006,325.200012,318.188660,2817485
2022-05-27,332.000000,335.399994,326.600006,330.799988,323.667908,3634013
2022-05-30,333.799988,344.399994,333.200012,338.000000,330.712677,6483120
2022-05-31,337.799988,340.399994,334.399994,339.200012,331.886841,12777840
2022-06-01,337.399994,346.600006,335.399994,344.000000,336.583313,5284746
2022-06-02,340.799988,343.399994,337.799988,342.000000,334.626434,2065091
2022-06-06,341.799988,347.600006,337.799988,347.600006,340.105713,3542745
2022-06-07,347.200012,357.799988,342.799988,352.200012,344.606537,7597184
2022-06-08,356.000000,362.799988,350.799988,361.200012,353.412506,8347757
2022-06-09,360.200012,360.399994,354.000000,355.399994,347.737549,4996685
2022-06-10,347.799988,355.200012,346.200012,355.200012,347.541870,4186795
2022-06-13,342.000000,348.799988,340.200012,342.000000,334.626434,4107754
2022-06-14,339.799988,343.000000,334.200012,341.600006,334.235077,3478255
2022-06-15,341.600006,359.799988,341.200012,355.399994,347.737549,7071608
2022-06-16,360.000000,360.000000,347.399994,348.799988,341.279816,3696026
2022-06-17,347.799988,358.799988,346.600006,356.000000,348.324615,5266963
2022-06-20,356.000000,361.200012,353.000000,358.399994,350.672852,3154799
2022-06-21,359.399994,366.600006,355.200012,364.200012,356.347839,4929809
2022-06-22,366.200012,371.399994,359.000000,359.799988,352.042664,5520071
2022-06-23,357.000000,364.399994,357.000000,359.399994,351.651306,3183033
2022-06-24,364.000000,377.000000,361.000000,374.200012,366.132233,7463422
